t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,pose_src,pose_n_used,pose_rms_px,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg
2026-09-04T15:08:26.220,62,ACQUIRE_VERIFY,ACQUIRE_VERIFY,251,4,1788502106175.322,131.446,timestamp_domain.system_time,4332890.000,125.000,1,4332890.000,4332921.000,31.000,31.000,4332921.000,31.000,1,1,pnp_visible_ransac,9,3.221,-13.8816,-0.277944,5.900092,-2.6971
2026-09-04T15:08:26.334,63,ACQUIRE_VERIFY,ACQUIRE_VERIFY,254,3,1788502106275.297,99.975,timestamp_domain.system_time,4332984.000,94.000,1,4333000.000,4333031.000,31.000,47.000,4333031.000,47.000,1,1,pnp_visible_ransac,9,1.555,9.7397,-0.412579,4.600396,-5.1248
2026-09-04T15:08:26.454,64,ACQUIRE_VERIFY,ACQUIRE_VERIFY,258,4,1788502106409.933,134.636,timestamp_domain.system_time,4333109.000,125.000,1,4333125.000,4333140.000,15.000,31.000,4333156.000,47.000,1,1,pnp_visible_ransac,9,1.397,9.5334,-0.412525,4.634711,-5.0864
2026-09-04T15:08:26.554,65,ACQUIRE_VERIFY,ACQUIRE_VERIFY,258,0,1788502106409.933,0.000,timestamp_domain.system_time,4333218.000,109.000,1,4333218.000,4333250.000,32.000,32.000,4333250.000,32.000,1,1,pnp_visible_ransac,9,1.397,9.5334,-0.412525,4.634711,-5.0864
2026-09-04T15:08:26.670,66,ACQUIRE_VERIFY,ACQUIRE_VERIFY,264,6,1788502106608.856,198.923,timestamp_domain.system_time,4333328.000,110.000,1,4333328.000,4333359.000,31.000,31.000,4333375.000,47.000,1,1,pnp_visible_ransac,9,2.945,-14.5603,-0.278467,5.929264,-2.6889
2026-09-04T15:08:26.792,67,ACQUIRE_VERIFY,ACQUIRE_VERIFY,267,3,1788502106709.619,100.763,timestamp_domain.system_time,4333453.000,125.000,1,4333453.000,4333484.000,31.000,31.000,4333484.000,31.000,1,1,pnp_visible_ransac,8,4.593,-35.9409,-0.113592,6.744859,-0.9648
2026-09-04T15:08:26.889,68,ACQUIRE_VERIFY,ACQUIRE_VERIFY,271,4,1788502106842.456,132.837,timestamp_domain.system_time,4333562.000,109.000,1,4333562.000,4333593.000,31.000,31.000,4333593.000,31.000,1,1,pnp_visible_ransac,9,3.610,-16.7692,-0.258816,6.034650,-2.4558
2026-09-04T15:08:27.011,69,ACQUIRE_VERIFY,ACQUIRE_VERIFY,274,3,1788502106942.673,100.217,timestamp_domain.system_time,4333671.000,109.000,1,4333671.000,4333718.000,47.000,47.000,4333718.000,47.000,1,1,pnp_visible_ransac,9,1.348,9.6860,-0.412304,4.578296,-5.1460
2026-09-04T15:08:27.128,70,ACQUIRE_VERIFY,ACQUIRE_VERIFY,278,4,1788502107076.655,133.982,timestamp_domain.system_time,4333796.000,125.000,1,4333796.000,4333828.000,32.000,32.000,4333828.000,32.000,1,1,pnp_visible_ransac,9,1.427,9.6613,-0.411337,4.610467,-5.0983
2026-09-04T15:08:27.248,71,ACQUIRE_VERIFY,ACQUIRE_VERIFY,281,3,1788502107176.026,99.371,timestamp_domain.system_time,4333906.000,110.000,1,4333906.000,4333953.000,47.000,47.000,4333953.000,47.000,1,1,pnp_visible_ransac,9,3.889,-24.5800,-0.205594,6.356398,-1.8526
2026-09-04T15:08:27.358,72,ACQUIRE_VERIFY,ACQUIRE_VERIFY,285,4,1788502107309.184,133.158,timestamp_domain.system_time,4334015.000,109.000,1,4334031.000,4334062.000,31.000,47.000,4334062.000,47.000,1,1,pnp_visible_ransac,9,3.329,-18.0249,-0.253838,6.074800,-2.3927
2026-09-04T15:08:27.493,73,ACQUIRE_VERIFY,ACQUIRE_VERIFY,288,3,1788502107410.208,101.024,timestamp_domain.system_time,4334125.000,110.000,1,4334125.000,4334187.000,62.000,62.000,4334187.000,62.000,1,1,pnp_visible_ransac,9,3.741,-24.6310,-0.204836,6.300030,-1.8622
2026-09-04T15:08:27.626,74,ACQUIRE_VERIFY,ACQUIRE_VERIFY,292,4,1788502107542.899,132.691,timestamp_domain.system_time,4334281.000,156.000,1,4334296.000,4334328.000,32.000,47.000,4334328.000,47.000,1,1,pnp_visible_ransac,9,1.279,9.4943,-0.407140,4.498641,-5.1713
2026-09-04T15:08:27.738,75,ACQUIRE_VERIFY,ACQUIRE_VERIFY,296,4,1788502107676.376,133.478,timestamp_domain.system_time,4334406.000,125.000,1,4334406.000,4334437.000,31.000,31.000,4334437.000,31.000,1,1,pnp_visible_ransac,8,4.078,-42.5894,-0.067861,6.676191,-0.5824
2026-09-04T15:08:27.860,76,ACQUIRE_VERIFY,ACQUIRE_VERIFY,300,4,1788502107810.509,134.132,timestamp_domain.system_time,4334515.000,109.000,1,4334531.000,4334562.000,31.000,47.000,4334562.000,47.000,1,1,pnp_visible_ransac,9,2.764,-14.6201,-0.278696,5.907511,-2.7010
2026-09-04T15:08:27.982,77,ACQUIRE_VERIFY,ACQUIRE_VERIFY,303,3,1788502107909.860,99.351,timestamp_domain.system_time,4334640.000,125.000,1,4334640.000,4334687.000,47.000,47.000,4334687.000,47.000,1,1,pnp_visible_ransac,9,4.100,-31.4339,-0.154628,6.471581,-1.3687
2026-09-04T15:08:28.094,78,SEARCH_SWEEP,SEARCH_SWEEP,307,4,1788502108043.230,133.370,timestamp_domain.system_time,4334750.000,110.000,1,4334765.000,4334796.000,31.000,46.000,4334796.000,46.000,1,1,pnp_visible_ransac,9,4.295,-36.8618,-0.109400,6.516130,-0.9619
2026-09-04T15:08:28.217,79,ACQUIRE_VERIFY,ACQUIRE_VERIFY,310,3,1788502108143.617,100.387,timestamp_domain.system_time,4334859.000,109.000,1,4334859.000,4334921.000,62.000,62.000,4334921.000,62.000,1,1,pnp_visible_ransac,9,1.419,9.9647,-0.419263,4.657654,-5.1437
2026-09-04T15:08:28.328,80,ACQUIRE_VERIFY,ACQUIRE_VERIFY,314,4,1788502108276.470,132.854,timestamp_domain.system_time,4334984.000,125.000,1,4335000.000,4335015.000,15.000,31.000,4335031.000,47.000,1,1,pnp_visible_ransac,9,1.564,9.6245,-0.415051,4.676070,-5.0723
2026-09-04T15:08:28.439,81,ACQUIRE_VERIFY,ACQUIRE_VERIFY,317,3,1788502108376.838,100.368,timestamp_domain.system_time,4335093.000,109.000,1,4335109.000,4335140.000,31.000,47.000,4335140.000,47.000,1,1,pnp_visible_ransac,9,3.725,-16.1002,-0.264470,6.037828,-2.5081
