t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg
2026-09-01T17:43:50.510,58,SEARCH_SWEEP,SEARCH_SWEEP,200,3,1788252230461.175,100.215,timestamp_domain.system_time,20978140.000,109.000,1,20978140.000,20978156.000,16.000,16.000,20978156.000,16.000,1,1,-3.1055,-0.159997,3.973187,-2.3060
2026-09-01T17:43:50.610,59,SEARCH_SWEEP,SEARCH_SWEEP,203,3,1788252230561.271,100.096,timestamp_domain.system_time,20978218.000,78.000,1,20978234.000,20978250.000,16.000,32.000,20978250.000,32.000,1,1,-3.3226,-0.161584,3.987895,-2.3203
2026-09-01T17:43:50.714,60,SEARCH_SWEEP,SEARCH_SWEEP,204,1,1788252230595.692,34.421,timestamp_domain.system_time,20978328.000,110.000,1,20978328.000,20978359.000,31.000,31.000,20978359.000,31.000,1,1,-3.3259,-0.161579,3.987891,-2.3202
2026-09-01T17:43:50.819,61,SEARCH_SWEEP,SEARCH_SWEEP,209,5,1788252230761.273,165.581,timestamp_domain.system_time,20978437.000,109.000,1,20978437.000,20978468.000,31.000,31.000,20978468.000,31.000,1,1,-3.0402,-0.160872,3.982158,-2.3134
2026-09-01T17:43:50.927,62,ACQUIRE_VERIFY,ACQUIRE_VERIFY,213,4,1788252230894.610,133.337,timestamp_domain.system_time,20978546.000,109.000,1,20978546.000,20978562.000,16.000,16.000,20978562.000,16.000,1,1,-3.4677,-0.161678,3.984761,-2.3234
2026-09-01T17:43:51.025,63,ACQUIRE_VERIFY,ACQUIRE_VERIFY,216,3,1788252230994.825,100.215,timestamp_domain.system_time,20978640.000,94.000,1,20978640.000,20978671.000,31.000,31.000,20978671.000,31.000,1,1,-3.2050,-0.161451,3.990963,-2.3166
2026-09-01T17:43:51.124,64,ACQUIRE_VERIFY,ACQUIRE_VERIFY,218,2,1788252231061.266,66.442,timestamp_domain.system_time,20978734.000,94.000,1,20978750.000,20978765.000,15.000,31.000,20978765.000,31.000,1,1,-3.6265,-0.160342,3.996393,-2.2976
2026-09-01T17:43:51.213,65,ACQUIRE_VERIFY,ACQUIRE_VERIFY,221,3,1788252231161.249,99.983,timestamp_domain.system_time,20978828.000,94.000,1,20978828.000,20978859.000,31.000,31.000,20978859.000,31.000,1,1,-2.0025,-0.163006,3.983830,-2.3431
2026-09-01T17:43:51.314,66,ACQUIRE_VERIFY,ACQUIRE_VERIFY,224,3,1788252231261.455,100.206,timestamp_domain.system_time,20978921.000,93.000,1,20978937.000,20978953.000,16.000,32.000,20978953.000,32.000,1,1,-2.4469,-0.160905,3.982374,-2.3137
2026-09-01T17:43:51.415,67,ACQUIRE_VERIFY,ACQUIRE_VERIFY,227,3,1788252231361.604,100.149,timestamp_domain.system_time,20979031.000,110.000,1,20979031.000,20979062.000,31.000,31.000,20979062.000,31.000,1,1,-3.4519,-0.160052,3.984683,-2.3002
2026-09-01T17:43:51.515,68,ACQUIRE_VERIFY,ACQUIRE_VERIFY,230,3,1788252231462.151,100.548,timestamp_domain.system_time,20979140.000,109.000,1,20979140.000,20979156.000,16.000,16.000,20979156.000,16.000,1,1,-2.1747,-0.161247,3.982366,-2.3187
2026-09-01T17:43:51.615,69,ACQUIRE_VERIFY,ACQUIRE_VERIFY,233,3,1788252231561.859,99.708,timestamp_domain.system_time,20979218.000,78.000,1,20979218.000,20979250.000,32.000,32.000,20979250.000,32.000,1,1,-1.7915,-0.162695,3.989635,-2.3352
