beta_deg,camera_z_m,category,clearance_m,cycles,elapsed_sec,final_camera_z_m,final_yaw_deg,forward_m,min_fov_deg,radius_m,reason,success,terminal,turn_deg,x_m,y_m
-7.5,-0.12529467375559566,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,-0.14357881144205675,1.0905893475111914
-5.0,-0.12790708395046002,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,-0.09587131702242399,1.0958141679009201
-2.5,-0.1294765218700218,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,-0.0479813261018696,1.0989530437400437
0.0,-0.13,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.0,1.1
2.5,-0.1294765218700218,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.0479813261018696,1.0989530437400437
5.0,-0.12790708395046002,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.09587131702242399,1.0958141679009201
7.5,-0.12529467375559566,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.14357881144205675,1.0905893475111914
10.0,-0.12164426415671437,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.19101299543362338,1.0832885283134288
12.5,-0.11696280391596336,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.23808357533191318,1.0739256078319268
15.0,-0.11125920445898763,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.2847009496127728,1.0625184089179753
17.5,-0.10454432291152482,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.33077637945470045,1.0490886458230497
20.0,-0.09683094143224968,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.37622215765823563,1.0336618828644994
22.5,-0.08813374288120768,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.4209517756015988,1.0162674857624154
25.0,-0.07846928287015753,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.4648800879147694,0.996938565740315
27.5,-0.06785595824802193,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.5079234745585374,0.9757119164960439
30.0,-0.05631397208144129,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.5499999999999999,0.9526279441628827
32.5,-0.04386529519708715,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.5910295691815062,0.9277305903941744
35.0,-0.030533624358945466,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.6309340799861507,0.901067248717891
37.5,-0.016344337160179356,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.6696375719095927,0.8726886743203588
40.0,-0.0013244437154379396,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.7070663706551933,0.8426488874308758
42.5,0.0144974647544317,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.7431492283772263,0.8110050704911366
45.0,0.03109127034739878,0,,,,,,,,1.1,rotation-only geometry impossible under current insertion gates,False,,,0.7778174593052024,0.7778174593052024
-45.0,0.13109127034739865,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,-0.848528137423857,0.848528137423857
-42.5,0.11449746475443157,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,-0.8107082491387922,0.8847328041721488
-40.0,0.09867555628456193,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,-0.7713451316238471,0.9192533317427736
-37.5,0.08365566283982051,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,-0.7305137148104648,0.9520240083494822
-35.0,0.0694663756410544,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,-0.6882917236212552,0.9829824531467901
-32.5,0.056134704802912716,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,-0.6447595300161885,1.0120697349754628
-30.0,0.04368602791855858,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,-0.5999999999999999,1.0392304845413265
-27.5,0.032144041751977936,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,-0.5540983358820407,1.064412999813866
-25.0,0.021530717129842336,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,-0.5071419140888394,1.0875693444439798
-22.5,0.01186625711879219,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,-0.4592201188381077,1.1086554390135441
-20.0,0.0031690585677501826,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,-0.41042417199080244,1.12763114494309
-17.5,-0.004544322911524956,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,-0.36084695940512773,1.1444603408978722
-15.0,-0.01125920445898776,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,-0.3105828541230249,1.159110991546882
-12.5,-0.016962803915963498,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,-0.25972753672572346,1.17155520854392
-10.0,-0.0216442641567145,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,-0.2083778132003164,1.1817693036146495
